country,partition
AD,0
AF,0
AG,0
AI,0
AL,0
AO,0
AQ,0
AW,0
AX,0
AZ,0
BA,0
BB,0
BF,0
BH,0
BI,0
BJ,0
BM,0
BN,0
BO,0
BQ,0
BS,0
BW,0
BZ,0
CD,0
CF,0
CG,0
CI,0
CL,0
CM,0
CR,0
CU,0
CV,0
CW,0
DJ,0
DM,0
DO,0
DZ,0
EC,0
ER,0
ET,0
FJ,0
FM,0
FO,0
GA,0
GD,0
GF,0
GG,0
GH,0
GI,0
GL,0
GM,0
GN,0
GP,0
GT,0
GU,0
GY,0
HN,0
HT,0
IM,0
IQ,0
IS,0
JE,0
JM,0
JO,0
KE,0
KG,0
KH,0
KN,0
KW,0
KY,0
LA,0
LB,0
LC,0
LI,0
LR,0
LS,0
LY,0
MC,0
ME,0
MG,0
MK,0
ML,0
MM,0
MN,0
MO,0
MQ,0
MR,0
MU,0
MV,0
MW,0
MZ,0
NA,0
NC,0
NE,0
NI,0
NP,0
OM,0
PA,0
PE,0
PF,0
PR,0
PS,0
PY,0
QA,0
RE,0
RW,0
SA,0
SC,0
SD,0
SL,0
SM,0
SN,0
SO,0
SR,0
SV,0
SY,0
SZ,0
TC,0
TD,0
TG,0
TJ,0
TL,0
TM,0
TN,0
TO,0
TT,0
TZ,0
UG,0
VE,0
VG,0
VI,0
VU,0
WS,0
XK,0
YE,0
ZM,0
ZW,0
AE,1
AT,1
AU,1
BR,1
CA,1
CH,1
CZ,1
DE,1
ES,1
FI,1
FR,1
GB,1
ID,1
IL,1
IN,1
IT,1
JP,1
NL,1
PK,1
PL,1
PT,1
RO,1
RU,1
SE,1
SG,1
TH,1
TR,1
UA,1
VN,1
AM,2
AR,2
BD,2
BE,2
BG,2
BY,2
CN,2
CO,2
CY,2
DK,2
EE,2
EG,2
GE,2
GR,2
HK,2
HR,2
HU,2
IE,2
IR,2
KR,2
KZ,2
LK,2
LT,2
LU,2
LV,2
MA,2
MD,2
MT,2
MX,2
MY,2
NG,2
NO,2
NZ,2
PH,2
RS,2
SI,2
SK,2
TW,2
UY,2
UZ,2
ZA,2
US,3
