Id,civilizations
AE,islam
AO,afric
AR,latam
AT,wstrn
AU,wstrn
AZ,islam
BD,islam
BE,wstrn
BF,afric
BG,ortho
BI,afric
BO,latam
BR,latam
BY,ortho
CA,wstrn
CD,afric
CH,wstrn
CI,afric
CL,latam
CM,afric
CO,latam
CZ,wstrn
DE,wstrn
DK,wstrn
DO,latam
DZ,islam
EC,latam
EG,islam
ES,wstrn
ET,afric
EU,wstrn
FI,wstrn
FR,wstrn
GB,wstrn
GH,afric
GR,ortho
GT,latam
HN,latam
HT,latam
HU,wstrn
ID,islam
IL,wstrn
IN,hindu
IT,wstrn
JO,islam
JP,NA
KH,buddh
KZ,ortho
LA,buddh
LK,buddh
MA,islam
MG,afric
ML,islam
MX,latam
MY,islam
MZ,afric
NG,afric
NI,latam
NL,wstrn
NP,hindu
PE,latam
PG,wstrn
PH,wstrn
PK,islam
PL,wstrn
PT,wstrn
PY,latam
RO,ortho
RU,ortho
SA,islam
SD,islam
SE,wstrn
SG,sinic
SK,wstrn
SN,islam
SV,latam
TH,buddh
TN,islam
TR,islam
UA,ortho
US,wstrn
UZ,islam
VE,latam
VN,sinic
YE,islam
ZA,afric
ZM,afric
ZW,afric
CN,sinic
HK,sinic
KR,sinic
TW,sinic
MN,sinic
