source,target,weight,alpha_out,alpha_in
AD,ES,0.23937694704049844,0.112,0.0004
AD,US,0.5581931464174454,0.0015,0.3026
AE,IN,0.136980002995545,0.0,0.1084
AE,MT,0.0016997976265530682,0.8877,0.0028
AE,RU,0.07772394311251057,0.0035,0.3722
AE,US,0.4109295594110619,0.0,0.4151
AF,AE,0.1638453175959,0.1671,0.0
AF,CA,0.26432675881348033,0.0464,0.0003
AF,GE,0.02904177667339649,0.7447,0.0001
AF,IR,0.18248175182481752,0.1333,-0.0
AF,PK,0.05000776518092872,0.5987,0.0
AF,RO,0.09318217114458767,0.376,0.0001
AL,ME,0.0068282535950076875,0.8601,0.0006
AL,NZ,0.06116035090892647,0.2495,0.0
AL,RO,0.049380482951976126,0.3282,0.0065
AL,RS,0.12403907027222574,0.0543,0.0
AL,US,0.3573528081758162,0.0001,0.4656
AL,XK,0.07811793434023695,0.1671,0.0006
AM,CY,0.014838032886338646,0.6015,0.0011
AM,RU,0.3251349199327612,0.0,0.015
AM,US,0.3309235222001744,0.0,0.4927
AO,AM,0.033707865168539325,0.8718,0.0
AO,BR,0.4476641040804258,0.0931,0.0
AO,PT,0.4050857480780603,0.1253,-0.0
AQ,AU,1.0,,0.0
AR,CO,0.07452404549203336,0.0056,0.0027
AR,US,0.5248811165686326,0.0,0.325
AR,UY,0.01928173912871291,0.2713,0.0002
AT,DE,0.24108405631413476,0.0,0.0703
AT,US,0.4422752459364023,0.0,0.3881
AU,NZ,0.023028980186017848,0.1912,0.0019
AU,US,0.6347056500938207,0.0,0.2567
AW,NL,0.3168,0.3189,0.0001
AX,FI,0.7771509167842031,0.2228,0.0
AX,NL,0.22284908321579688,0.7772,0.0016
AZ,IL,0.0893007228105564,0.3255,0.0068
AZ,TR,0.16864178853588838,0.109,0.0
AZ,ZW,0.006303580433686334,0.9269,0.0004
BA,HR,0.03947304849177846,0.3238,0.0
BA,IE,0.025880534037653197,0.4799,0.0002
BA,RS,0.1851899569999839,0.0032,0.0
BA,US,0.34218027797014156,0.0,0.481
BB,GB,0.38950682056663166,0.0848,0.0085
BD,IN,0.3218811551165116,0.0,0.0051
BD,US,0.32828096118299444,0.0,0.4955
BE,DE,0.10183570642044398,0.0022,0.328
BE,FR,0.07940014205154851,0.009,0.3542
BE,US,0.45136927205731636,0.0,0.3806
BF,MA,0.15453194650817237,0.8455,0.0015
BF,RU,0.8454680534918276,0.1545,0.0
BG,DE,0.15172774412828446,0.0007,0.1893
BG,GB,0.1009175354803752,0.0093,0.2956
BG,US,0.43766044556265593,0.0,0.3919
BH,IN,0.40837463464226714,0.0006,0.0012
BI,BE,1.0,,-0.0
BJ,FR,0.3679417122040073,0.0403,0.0076
BJ,MA,0.12021857923497267,0.408,0.007
BJ,NG,0.21337496747332813,0.1864,0.0071
BM,SE,0.05496320768884217,0.7538,0.0032
BM,US,0.797567202282625,0.0003,0.1808
BN,AT,0.13793103448275862,0.7432,0.0
BN,MY,0.16625615763546797,0.6951,0.0
BO,AR,0.10514991862742394,0.2359,0.0058
BO,DO,0.0035031583593081953,0.9554,0.0058
BO,MX,0.11359059939867046,0.2086,0.0011
BO,US,0.37770667255123713,0.0021,0.4457
BR,US,0.5556482118238744,0.0,0.3042
