source,target,weight,alpha_out,alpha_in
AD,US,8959,0.0015,0.9629
AE,DE,11169,0.0622,0.8099
AE,GB,11165,0.0622,0.737
AE,IN,39326,0.0,0.1909
AE,RU,22314,0.0035,0.3942
AE,US,117975,0.0,0.6072
AF,CA,1702,0.0464,0.9135
AL,DE,6375,0.0326,0.8867
AL,RS,5486,0.0543,0.113
AL,US,15805,0.0001,0.9354
AM,DE,15244,0.0319,0.7499
AM,GB,11273,0.081,0.7348
AM,RU,51450,0.0,0.1153
AM,US,52366,0.0,0.8015
AR,BO,6307,0.6573,0.0388
AR,BR,21262,0.2404,0.0415
AR,CL,17826,0.3033,0.0008
AR,CO,75271,0.0056,0.0
AR,DE,48114,0.038,0.4023
AR,EC,6033,0.6694,0.0085
AR,ES,42092,0.0577,0.0266
AR,GB,38993,0.0715,0.3434
AR,MX,30312,0.1298,0.0023
AR,PE,14172,0.388,0.0029
AR,US,530142,-0.0,0.1051
AR,UY,19475,0.2713,0.0
AR,VE,13688,0.4008,0.0041
AT,DE,261487,0.0,0.0066
AT,US,479705,0.0,0.1304
AU,CA,45678,0.2205,0.086
AU,DE,111164,0.0238,0.1208
AU,FR,52262,0.1768,0.0779
AU,GB,114771,0.021,0.042
AU,KH,8075,0.7672,0.0025
AU,NZ,49926,0.1912,0.0
AU,PH,6793,0.8003,0.069
AU,US,1376019,0.0,0.0027
AZ,RU,6433,0.0228,0.7653
AZ,US,6565,0.0208,0.9727
BA,DE,8227,0.0187,0.8562
BA,RS,11499,0.0032,0.0093
BA,US,21247,0.0,0.9142
BB,GB,3712,0.0848,0.9036
BB,US,3760,0.0814,0.9842
BD,IN,53112,0.0,0.1063
BD,US,54168,0.0,0.7954
BE,DE,106817,0.0022,0.1313
BE,EG,16867,0.3969,0.0
BE,ES,48106,0.0688,0.0157
BE,FR,83284,0.009,0.0167
BE,GB,57133,0.0411,0.2082
BE,NL,57890,0.0393,0.0301
BE,US,473448,0.0,0.1339
BG,DE,80086,0.0007,0.2189
BG,GB,53267,0.0093,0.2317
BG,NL,28863,0.0842,0.177
BG,US,231009,0.0,0.376
BH,IN,6427,0.0006,0.764
BH,US,3516,0.029,0.9853
BJ,FR,1414,0.0403,0.9339
BM,US,5311,0.0003,0.9778
BO,US,13693,0.0021,0.9438
BR,AR,44033,0.1248,0.0033
BR,CA,54482,0.0755,0.0533
BR,CZ,23098,0.3382,0.0666
BR,DE,87956,0.0147,0.1883
BR,ES,31815,0.2237,0.0653
BR,FR,49524,0.0959,0.0892
BR,GB,61743,0.0531,0.1833
BR,IN,65720,0.0438,0.062
BR,IT,21922,0.3576,0.0897
BR,PH,11342,0.5885,0.0105
BR,PT,24406,0.3179,0.0025
BR,US,858886,0.0,0.0256
BS,US,9882,0.0009,0.9591
BY,GE,7173,0.4059,0.0102
BY,KZ,6521,0.4408,0.0165
BY,LU,12877,0.1962,0.0268
BY,LV,4919,0.5396,0.0707
BY,PL,24392,0.044,0.0983
BY,RU,118433,0.0,0.0064
BY,US,161489,0.0,0.505
BY,UZ,3538,0.6421,0.0069
BZ,US,3090,0.0313,0.987
CA,AU,52847,0.3969,0.007
CA,BR,32007,0.572,0.0079
CA,CY,4153,0.9302,0.0774
CA,CZ,23096,0.6684,0.0666
CA,DE,226071,0.018,0.0131
CA,FI,21907,0.6825,0.0473
CA,FR,110446,0.1435,0.0043
CA,GB,177194,0.0436,0.0072
CA,IN,109417,0.1461,0.0095
CA,LB,4927,0.9178,0.0029
