source,destination,weight,alpha_out,alpha_in
AD,BE,0.00914380714879468,0.9291,0.4625
AD,BR,0.029343308395677472,0.788,0.1271
AD,DE,0.07090606816292602,0.5552,0.4717
AD,ES,0.24347464671654198,0.1073,0.0003
AD,FR,0.02660016625103907,0.806,0.7206
AD,GB,0.02369077306733167,0.8255,0.757
AD,IL,0.02743142144638404,0.8005,0.2378
AD,IN,0.0456359102244389,0.6882,0.4912
AD,US,0.5237738985868662,0.0026,0.325
AE,AM,0.0028944379090515863,0.8331,0.4418
AE,AR,0.0016008343742799278,0.904,0.9284
AE,AT,0.0012289233580330759,0.9255,0.8355
AE,AU,0.0033714542124986357,0.8083,0.9338
AE,BD,0.0004689312813547263,0.9709,0.6666
AE,BE,0.005687813041949137,0.6981,0.6196
AE,BG,0.006399294986073549,0.6673,0.7794
AE,BR,0.002469974249204636,0.8557,0.8421
AE,BY,0.002777205088712905,0.8393,0.6865
AE,CA,0.02522931143909351,0.1999,0.4345
AE,CH,0.0015806218190491206,0.9051,0.9186
AE,CN,0.0033310291020370213,0.8104,0.9002
AE,CO,0.00042446365984695055,0.9736,0.9686
AE,CY,0.0004365911929854348,0.9729,0.8206
AE,CZ,0.006112276701796088,0.6796,0.5089
AE,DE,0.04041298292847585,0.0744,0.652
AE,DO,0.000727651988309058,0.9552,0.437
AE,EE,0.005158244094901989,0.7219,0.1476
AE,EG,0.015050268624859017,0.3847,0.1507
AE,ES,0.013667729847071807,0.4202,0.6451
AE,ET,0.0006265892121550222,0.9613,0.9818
AE,FI,0.008671186194016274,0.5777,0.643
AE,FR,0.020119577476745455,0.2779,0.7805
AE,GB,0.03812896418739464,0.0864,0.6387
AE,GE,0.003048053328805721,0.825,0.3868
AE,HK,0.006419507541304357,0.6665,0.7695
AE,HR,0.0010753079382789413,0.9345,0.6127
AE,HU,0.00041637863775462766,0.9741,0.9592
AE,ID,0.0021101907660962685,0.8754,0.5107
AE,IE,0.0015806218190491206,0.9051,0.6419
AE,IL,0.003646344963637613,0.7944,0.8274
AE,IN,0.14298765821377607,0.0001,0.1064
AE,IR,0.004988458630963209,0.7297,0.5692
AE,IT,0.011602006702483314,0.4794,0.6437
AE,JO,0.0017746623492648694,0.8941,0.8084
AE,JP,0.019860856769791123,0.2826,0.2931
AE,KR,0.0021304033213270755,0.8743,0.7561
AE,LK,0.0011319030929252015,0.9311,0.3497
AE,LV,0.0004972288586778563,0.9692,0.7711
AE,MX,0.00042446365984695055,0.9736,0.9767
AE,MY,0.011464561326913826,0.4836,0.2644
AE,NG,0.015082608713228309,0.3839,0.7387
AE,NL,0.011581794147252508,0.48,0.7575
AE,NO,0.0009055224743401611,0.9445,0.9495
AE,NP,0.0005699940575087622,0.9647,0.6798
AE,NZ,0.0006912693888936051,0.9574,0.8381
AE,PH,0.0013906237998795332,0.9161,0.5039
AE,PK,0.008125447202784481,0.5981,0.177
AE,PL,0.00879650403644728,0.5731,0.4853
AE,PS,0.0004365911929854348,0.9729,0.8748
AE,PT,0.005376539691394707,0.712,0.6154
AE,RO,0.0010591378940942957,0.9354,0.9066
AE,RS,0.0010874354714174256,0.9338,0.9178
AE,RU,0.08019533413375052,0.0052,0.3558
AE,SE,0.0021101907660962685,0.8754,0.8138
AE,SG,0.01688961115086247,0.3419,0.4028
AE,SM,0.0005093563918163406,0.9684,0.3755
AE,TH,0.0005295689470471479,0.9672,0.8609
AE,TR,0.003727195184560842,0.7904,0.7214
AE,TW,0.0005053138807701792,0.9687,0.903
AE,TZ,0.0007478645435398652,0.954,0.8436
AE,UA,0.007486730457490975,0.6229,0.6436
AE,US,0.40983785488193847,0.0,0.4153
AE,UZ,0.0006225467011088608,0.9615,0.6523
AF,AE,0.16133464180569185,0.2447,0.0
AF,CA,0.23984298331697743,0.1115,0.0003
AF,GE,0.036702649656526004,0.7415,0.0
AF,IN,0.04749754661432777,0.6775,0.4772
AF,IR,0.23061825318940138,0.1228,0.0
AF,KE,0.03866535819430814,0.7295,0.5266
AF,NG,0.10088321884200196,0.4271,0.1284
AF,PK,0.026692836113837094,0.8054,0.0028
AF,RO,0.11776251226692837,0.367,0.0
AG,US,1.0,,0.1163
AI,US,1.0,,0.1163
AL,AT,0.003893559506981127,0.9249,0.5649
AL,BE,0.013416660466731145,0.7633,0.3217
AL,CH,0.002926369565756516,0.9431,0.8545
AL,CZ,0.0025791731765989635,0.9497,0.7526
AL,DE,0.14063933735089154,0.0483,0.2243
AL,FR,0.017558217394539097,0.7017,0.8056
AL,GB,0.046177119757954514,0.3885,0.581
AL,IE,0.0028023708553431043,0.9454,0.4546
AL,IN,0.011903876199687522,0.787,0.8311
AL,IT,0.04508593110631649,0.3975,0.1782
AL,MD,0.010713488579718771,0.8062,0.071
AL,ME,0.007489522108970067,0.8604,0.0004
AL,NO,0.006745529846489596,0.8734,0.6794
AL,NZ,0.05639461349601964,0.3132,0.0
AL,PL,0.006869528556903008,0.8712,0.5689
AL,RO,0.05066587307492002,0.3535,0.0077
AL,RS,0.13605138506559533,0.0537,0.0
