source,destination,weight,alpha_out,alpha_in
AD,BE,4.700480365792417,0.5059,0.5355
AD,BR,5.8664680569332965,0.4233,0.4484
AD,DE,6.748759547491679,0.3688,0.4695
AD,ES,7.982416346827733,0.303,0.3708
AD,FR,5.768320995793772,0.4297,0.4978
AD,GB,5.652489180268651,0.4375,0.5232
AD,IL,5.799092654460526,0.4277,0.4771
AD,IN,6.3080984415095305,0.3952,0.4657
AD,US,8.748463629942055,0.2675,0.4063
AE,AM,6.573680166960646,0.3766,0.3693
AE,AR,5.981414211254481,0.4115,0.4517
AE,AT,5.717027701406222,0.4281,0.459
AE,AU,6.726233402358747,0.3681,0.4197
AE,BD,4.7535901911063645,0.4943,0.4732
AE,BE,7.249215057114389,0.3404,0.3809
AE,BG,7.367077059881012,0.3344,0.3448
AE,BR,6.415096959171596,0.3857,0.4159
AE,BY,6.532334292222349,0.379,0.3939
AE,CA,8.738895704934043,0.2721,0.341
AE,CH,5.968707559985366,0.4123,0.4614
AE,CN,6.714170529909472,0.3688,0.4366
AE,CO,4.653960350157523,0.5017,0.5128
AE,CY,4.68213122712422,0.4996,0.4962
AE,CZ,7.321188556739478,0.3367,0.3862
AE,DE,9.210040326967182,0.2535,0.3559
AE,DO,5.19295685089021,0.4629,0.4105
AE,EE,7.151485463904735,0.3454,0.3553
AE,EG,8.222285073872717,0.2941,0.2763
AE,ES,8.125926802707886,0.2984,0.3642
AE,ET,5.043425116919247,0.4734,0.4265
AE,FI,7.6708948313621175,0.3195,0.3703
AE,FR,8.512582578858554,0.2815,0.3567
AE,GB,9.151863442217207,0.2557,0.3498
AE,GE,6.625392368007956,0.3737,0.3554
AE,HK,7.370230641807081,0.3342,0.3819
AE,HR,5.583496308781699,0.4367,0.4285
AE,HU,4.634728988229636,0.5031,0.5269
AE,ID,6.257667587882639,0.3949,0.4022
AE,IE,5.968707559985366,0.4123,0.4376
AE,IL,6.804614520062624,0.3638,0.4194
AE,IN,10.473647554347222,0.2095,0.2805
AE,IR,7.1180162044653335,0.3471,0.3527
AE,IT,7.962067308753666,0.3058,0.3566
AE,JO,6.0844994130751715,0.4052,0.3633
AE,JP,8.499640032168648,0.2821,0.3448
AE,KR,6.267200548541362,0.3943,0.425
AE,LK,5.634789603169249,0.4334,0.4232
AE,LV,4.812184355372417,0.49,0.4957
AE,MX,4.653960350157523,0.5017,0.5237
AE,MY,7.950149887652018,0.3064,0.3223
AE,NG,8.224431573221159,0.294,0.2996
AE,NL,7.9603236291488395,0.3059,0.3756
AE,NO,5.4116460518550396,0.4481,0.4859
AE,NP,4.948759890378168,0.4801,0.4693
AE,NZ,5.14166355650266,0.4665,0.4955
AE,PH,5.840641657373398,0.4203,0.4345
AE,PK,7.605890001053122,0.3226,0.3237
AE,PL,7.685243607975833,0.3188,0.385
AE,PS,4.68213122712422,0.4996,0.4598
AE,PT,7.1929342212158,0.3433,0.3672
AE,RO,5.568344503761097,0.4377,0.4678
AE,RS,5.594711379601839,0.436,0.4512
AE,RU,9.895354569305939,0.2286,0.3196
AE,SE,6.257667587882639,0.3949,0.4505
AE,SG,8.33758794211651,0.2891,0.3348
AE,SM,4.836281906951478,0.4882,0.5616
AE,TH,4.875197323201151,0.4854,0.4943
AE,TR,6.826545223556594,0.3626,0.3881
AE,TW,4.8283137373023015,0.4888,0.5285
AE,TZ,5.220355825078324,0.4611,0.4084
AE,UA,7.524021415206125,0.3266,0.3991
AE,US,11.526650839588704,0.1786,0.3049
AE,UZ,5.0369526024136295,0.4738,0.4248
AF,AE,6.71174039505618,0.3491,0.3438
AF,CA,7.108244139731541,0.3265,0.4171
AF,GE,5.231108616854587,0.4457,0.4429
AF,IN,5.488937726156687,0.4273,0.5144
AF,IR,7.069023426578259,0.3287,0.3553
AF,KE,5.2832037287379885,0.4419,0.4366
AF,NG,6.2422232654551655,0.3775,0.4014
AF,PK,4.912654885736052,0.4693,0.4836
AF,RO,6.396929655216146,0.3679,0.4175
AG,US,6.095824562432225,,0.5341
AI,US,6.403574197934815,,0.5174
AL,AT,5.056245805348308,0.4682,0.5025
AL,BE,6.293419278846481,0.3871,0.4329
AL,CH,4.770684624465665,0.489,0.5391
AL,CZ,4.6443908991413725,0.4986,0.5477
AL,DE,8.643120748014027,0.2684,0.3794
AL,FR,6.56244409369372,0.3713,0.4521
