source,destination,weight,alpha_out,alpha_in
AD,ES,0.24347464671654198,0.1073,0.0003
AD,US,0.5237738985868662,0.0026,0.325
AE,DE,0.04041298292847585,0.0744,0.652
AE,GB,0.03812896418739464,0.0864,0.6387
AE,IN,0.14298765821377607,0.0001,0.1064
AE,RU,0.08019533413375052,0.0052,0.3558
AE,US,0.40983785488193847,0.0,0.4153
AF,AE,0.16133464180569185,0.2447,0.0
AF,CA,0.23984298331697743,0.1115,0.0003
AF,GE,0.036702649656526004,0.7415,0.0
AF,IR,0.23061825318940138,0.1228,0.0
AF,PK,0.026692836113837094,0.8054,0.0028
AF,RO,0.11776251226692837,0.367,0.0
AL,DE,0.14063933735089154,0.0483,0.2243
AL,MD,0.010713488579718771,0.8062,0.071
AL,ME,0.007489522108970067,0.8604,0.0004
AL,NZ,0.05639461349601964,0.3132,0.0
AL,RO,0.05066587307492002,0.3535,0.0077
AL,RS,0.13605138506559533,0.0537,0.0
AL,US,0.3641098132579421,0.0001,0.4582
AL,XK,0.068546487116534,0.2417,0.0045
AM,CY,0.01192136573659236,0.6813,0.0028
AM,DE,0.09012708331710054,0.0487,0.3845
AM,GE,0.00803328632315472,0.7725,0.0775
AM,RU,0.3223599629113066,0.0,0.0146
AM,US,0.34645982188077074,0.0,0.4759
AO,AM,0.03653846153846154,0.8617,0.0
AO,BR,0.4012820512820513,0.1285,0.0
AO,PT,0.4391025641025641,0.099,-0.0
AQ,AU,1.0,,0.0
AR,BO,0.006245648161451829,0.6655,0.0208
AR,CO,0.07112258093038164,0.0083,0.0035
AR,DE,0.0481791354900032,0.0404,0.6005
AR,EC,0.006302014832171001,0.663,0.0887
AR,ES,0.041922435040175066,0.0618,0.259
AR,GB,0.038685219774754365,0.077,0.6346
AR,US,0.5323290487295395,0.0,0.3191
AR,UY,0.018869571944871186,0.2899,0.0001
AT,DE,0.24135627397619594,0.0,0.0761
AT,US,0.4389180792812879,0.0,0.3901
AU,DE,0.05215227458859286,0.0248,0.5757
AU,GB,0.052831627588637034,0.0236,0.5371
AU,KH,0.004033468036136706,0.7566,0.0446
AU,NZ,0.023290434577747585,0.1967,0.0017
AU,US,0.633628684334922,-0.0,0.2566
AW,NL,0.3168,0.3189,0.0004
AX,FI,0.6858846918489065,0.3141,-0.0
AX,NL,0.31411530815109345,0.6859,0.0004
AZ,IL,0.09721426711793804,0.3247,0.0055
AZ,RU,0.2764904972663369,0.0284,0.027
AZ,TR,0.1921895339755272,0.0956,0.0
AZ,UA,0.04410309815152304,0.6089,0.072
AZ,US,0.2835199166883624,0.0255,0.5447
AZ,ZW,0.007810466024472794,0.9174,0.0005
BA,AT,0.024552042398240617,0.5507,0.025
BA,DE,0.13768612322890003,0.0286,0.2315
BA,HR,0.035854634603598085,0.4163,0.0
BA,IE,0.028968525795868335,0.4939,0.0002
BA,RS,0.1883945632188052,0.0067,0.0
BA,US,0.3517503695424884,0.0,0.4705
BB,CA,0.11883383216938255,0.5312,0.0187
BB,GB,0.39718434763330007,0.0796,0.0087
BB,US,0.3970734951779182,0.0797,0.4269
BD,ID,0.00772268302691503,0.7391,0.0817
BD,IN,0.3189172098780381,0.0,0.0064
BD,PK,0.013319610098686202,0.5928,0.0571
BD,US,0.3267071636630273,0.0,0.4965
BE,DE,0.10184691114631292,0.003,0.3394
BE,ES,0.04825860724082731,0.0692,0.2108
BE,FR,0.07927819366722602,0.0116,0.3756
BE,GB,0.05450304024526629,0.0485,0.5266
BE,NL,0.05676690826426691,0.0426,0.2545
BE,US,0.44608433326058605,0.0,0.3842
BF,RU,1.0,,0.0
BG,DE,0.151348885511332,0.0007,0.2
BG,GB,0.10444639249593747,0.0078,0.2918
BG,NL,0.05362327066633872,0.0885,0.2746
BG,US,0.43663612149955117,0.0,0.3921
BH,IN,0.4285320468642316,0.0021,0.0011
BH,MY,0.04045485871812543,0.6349,0.0073
BH,US,0.23273604410751206,0.0542,0.6075
BJ,BE,0.04329397517408417,0.7668,0.0242
BJ,FR,0.3908567968513473,0.0511,0.0074
BJ,NG,0.2482591583409022,0.1805,0.0057
BM,SE,0.05642053337444119,0.748,0.0033
BM,US,0.7921997841837521,0.0004,0.1822
BN,AT,0.13793103448275862,0.7432,0.0
BN,MY,0.16625615763546797,0.6951,0.0
BO,AR,0.09425620950323974,0.3048,0.0111
BO,CO,0.055109341252699784,0.5065,0.0133
BO,DO,0.004285907127429806,0.9498,0.0025
BO,ES,0.13866765658747301,0.1667,0.0107
BO,MX,0.10336798056155508,0.27,0.0023
BO,US,0.34749595032397407,0.006,0.4748
BR,CA,0.034502746299660186,0.0798,0.3194
BR,DE,0.05938572240214848,0.0122,0.5331
BR,GB,0.03912480418204659,0.0565,0.6313
BR,IN,0.04398245413675976,0.0392,0.5041
BR,PH,0.007765919164624989,0.5705,0.0188
BR,US,0.5507194536562381,0.0,0.3067
BS,US,0.9146833400564743,0.0006,0.1398
BW,LS,1.0,0.0,0.0
BY,GE,0.012461338370260073,0.4832,0.0175
BY,KZ,0.01248661491867845,0.4825,0.0133
BY,LU,0.028502755143777602,0.1869,0.0
BY,LV,0.0103335125670403,0.5475,0.0028
BY,PL,0.049218035506656925,0.0535,0.0161
BY,RU,0.2524851442831341,0.0,0.0372
BY,US,0.34966887721571926,0.0,0.4726
BY,UZ,0.00786560229419145,0.6325,0.0019
BZ,US,0.8046484260076493,0.0382,0.1774
CA,DE,0.040759255206053405,0.0192,0.6496
CA,GB,0.03160234663248077,0.0473,0.6898
CA,US,0.7631898411606529,0.0,0.194
CD,BG,0.23549257759784076,0.1526,0.0
CD,FR,0.38596491228070173,0.0329,0.0079
CD,JO,0.037786774628879895,0.7637,0.0068
CF,CA,0.12384259259259259,0.8762,0.0157
CG,BG,1.0,,-0.0
CH,DE,0.1365573104703796,0.0,0.2343
CH,FR,0.08146580119903,0.0014,0.3655
CH,GB,0.05035135026646423,0.0187,0.5531
CH,US,0.5104490105287018,0.0,0.3345
CI,FR,0.2886762360446571,0.1295,0.0272
CI,GH,0.02939166097060834,0.8361,0.0057
CI,US,0.5172020961494646,0.0127,0.3297
CL,AR,0.08865327499760482,0.0294,0.0147
CL,HN,0.014795315501092655,0.5676,0.0205
CL,PE,0.03778439808203804,0.2314,0.0019
CL,US,0.5001208991245079,0.0,0.342
CM,BD,0.008001037972493729,0.8936,0.0004
CM,CD,0.020975694144105182,0.7432,0.0032
CM,FR,0.27969033820603756,0.0101,0.0305
CM,NG,0.16715682034426088,0.0772,0.0322
CM,US,0.22960816538361734,0.0259,0.6115
CM,ZM,0.004973618199117723,0.9326,0.0532
CN,HK,0.32821581683108286,0.0,0.0
CN,JP,0.06831850847859536,0.0386,0.0133
CN,TW,0.020340275550980703,0.3886,0.0127
CN,US,0.40507893864638883,0.0,0.4196
CO,AR,0.22659995012422762,0.0,0.0
CO,BO,0.00601280144824465,0.7486,0.0246
CO,EC,0.010686346045497787,0.5971,0.0133
CO,MX,0.06446905393048795,0.0408,0.0248
CO,PE,0.021368073963923193,0.3546,0.0349
