source,target,weight
EU,US,144459
EU,GB,85123
CA,EU,29994
EU,RU,35264
CH,EU,32129
EU,UA,14847
EU,IN,23741
AU,EU,16993
BR,EU,12510
EU,IL,5810
CN,EU,2706
EU,NP,102
EU,JP,6878
EU,NO,12608
EU,NZ,2372
BY,EU,2064
AR,EU,5005
EU,SG,1810
EU,PK,713
EU,MX,840
EG,EU,893
EU,IR,3298
EU,TN,794
EU,VN,1348
EU,TR,3472
EU,TW,1082
EU,ZA,2378
EU,TH,1282
EU,KR,1504
EU,HK,3474
EU,RS,2029
CO,EU,1806
EU,PH,491
EU,RE,179
BD,EU,116
EU,ID,454
CL,EU,474
EU,KN,165
EU,MD,137
EU,MK,294
EU,MA,581
EU,PE,228
EU,VE,169
EU,NG,886
EU,PA,101
EU,MY,349
EU,GE,105
BH,EU,106
AE,EU,118
EU,KZ,119
CR,EU,107
EU,UY,192
EU,KG,112
EU,MU,217
EU,LK,110
EU,ML,233
EU,IS,230
EU,PF,118
DZ,EU,106
EC,EU,123
EU,MG,116
EU,GT,104
AL,EU,214
BO,EU,106
EU,KH,107
CU,EU,112
EU,KE,351
BJ,EU,132
DO,EU,103
BA,EU,115
EU,LB,133
EU,GP,103
AD,EU,106
CV,EU,110
EU,GI,104
EU,KW,107
EU,UG,132
AM,EU,108
CI,EU,103
EU,MO,121
EU,SN,102
EU,MM,107
EU,PY,109
EU,JE,118
BN,EU,112
EU,MN,105
EU,TZ,103
EU,SA,102
EU,NI,128
EU,UZ,111
CM,EU,107
EU,JO,108
EU,LC,105
EU,LI,108
EU,GF,114
AX,EU,110
BM,EU,102
EU,IM,103
EU,QA,172
EU,WS,104
AW,EU,136
EU,PS,105
CW,EU,104
EU,IQ,107
EU,FO,104
EU,HN,126
EU,nan,103
EU,SM,112
EU,SY,109
EU,PR,106
EU,GH,103
CD,EU,122
AZ,EU,104
EU,ME,133
AO,EU,150
EU,MC,104
EU,RW,108
ET,EU,109
EU,MQ,122
EU,SC,106
EU,TJ,102
EU,GN,127
EU,HT,203
EU,TG,134
EU,TT,151
EU,SV,115
EU,XK,128
EU,SL,133
EU,KY,130
EU,TM,117
CG,EU,172
EU,LA,129
EU,SR,107
EU,NC,106
EU,OM,118
BS,EU,155
EU,MR,103
EU,YE,130
BB,EU,153
AF,EU,111
EU,VI,112
CA,GR,117
AT,SK,114
IT,LT,121
ET,IN,136
ES,GB,4451
CH,HK,108
FR,MY,103
BE,CH,231
JP,PH,156
ID,TH,103
HR,JP,443
MX,PE,199
LU,NL,107
MD,RO,114
PE,US,611
GB,GR,556
DE,UA,3736
PA,VE,185
CH,IN,793
ES,SI,105
FI,GE,107
NG,SG,109
FR,MK,110
BE,DE,2337
AR,FR,458
DE,MA,138
BY,US,634
CA,NZ,237
NG,PT,111
AU,FR,1479
DE,LI,108
EG,PS,113
ES,NI,128
MU,RU,109
EG,FR,109
NZ,US,2577
IT,PT,309
BE,HU,103
CO,EC,102
BG,CA,107
IN,RW,116
DO,ES,107
EC,HK,142
BR,HK,103
GR,IT,183
DE,KE,112
IN,UY,107
BJ,FR,132
BR,UA,117
GB,LV,158
FI,JP,109
DK,NZ,119
BA,HR,101
IL,TR,105
ES,LV,104
ES,ME,102
BE,CY,222
BG,RS,114
HN,US,128
EE,PL,110
CO,PT,103
BE,IE,114
LB,TR,112
MT,UA,112
AE,JO,107
PK,QA,103
BY,IT,101
DE,MT,105
EE,LT,110
AE,CH,106
JP,NL,495
IE,SE,127
AM,PL,111
ET,NL,114
AE,IL,123
CO,SE,129
SI,TR,104
DE,GH,132
BR,PK,103
NL,TH,101
HK,NZ,142
HK,SE,103
BY,CY,128
EG,KE,108
GE,LU,125
BG,DK,104
RS,SE,103
GE,ID,115
JO,NG,102
AZ,TR,130
AT,RO,116
BE,FI,103
GR,UA,115
MU,US,103
LT,US,219
PT,SE,116
EG,TZ,125
AM,KZ,123
EG,RU,104
ID,TR,101
ES,HU,118
DE,PR,253
GE,ME,148
RO,TH,111
MZ,UG,105
IS,US,158
GR,PL,105
CN,PL,114
NO,RO,110
DE,SI,299
NZ,PL,136
FR,LV,102
BR,TR,119
FI,RO,118
BD,GB,109
KR,RU,152
CA,PH,184
DK,FI,109
FR,KZ,164
BE,HR,174
NG,SV,160
CH,EC,140
CZ,FR,1605
LT,RU,117
CN,MY,106
RS,TR,188
IR,TR,107
BG,CD,153
BR,VN,103
CA,CZ,510
PR,US,285
NP,PK,103
DK,GR,130
IN,PH,106
EE,PK,160
AE,TZ,106
NZ,SG,102
CN,TR,131
TR,US,2051
BA,IN,112
AU,UA,249
PL,SE,375
ES,IE,323
DE,NG,406
BG,HK,149
MX,NL,101
CH,CY,102
AU,MY,104
AT,SI,103
BY,GE,127
BG,IN,234
HR,US,329
US,VN,1608
PK,TH,101
CN,NL,236
HU,RU,125
BR,RS,113
BY,UA,656
BE,TN,115
IN,UZ,125
PT,RS,135
CD,IN,296
CO,DE,260
RO,RU,347
HK,PK,175
GR,SE,106
FR,TW,181
SG,UA,116
MX,PH,169
ET,PT,148
ES,SA,115
LT,PT,131
RO,TW,106
CZ,SG,111
CH,IE,107
KR,PK,143
HU,ME,141
IT,XK,139
ES,VN,110
LI,US,131
CA,EE,110
AR,PA,115
FI,LV,106
CO,PL,122
CA,MX,283
HK,NL,205
PS,SA,120
DE,UY,108
CA,VN,110
BR,FI,175
CA,CL,107
ET,GB,127
CH,PK,116
BH,CH,232
BD,NG,106
IE,RS,165
ES,LT,122
JP,PT,133
CI,IN,131
CH,KZ,134
GR,TR,102
CR,HU,108
AU,BY,112
NZ,SE,101
AU,FI,124
BE,RU,168
CU,DE,107
IT,NG,107
KE,RO,101
CA,HU,107
KE,TD,120
KE,ZM,112
FR,SN,102
IR,SG,112
AT,EE,108
AM,GB,147
AR,EE,204
PH,PK,146
AR,GR,112
BH,IN,114
EG,NG,132
TZ,UG,116
HR,SE,102
CA,GH,151
HU,SE,141
NP,ZA,337
CH,DZ,285
FR,OM,132
AR,TR,115
PK,UA,115
HU,PT,116
CA,RO,215
ZA,ZW,111
FR,KH,128
ET,FR,184
BE,BG,107
LK,US,315
BG,FR,109
HU,MY,138
NO,NP,226
KE,TZ,105
MY,ZA,118
ID,PT,113
NG,RU,106
AU,DE,3858
IT,US,5632
CR,VE,103
AU,TH,101
NC,US,102
MY,US,475
RS,US,439
CY,GB,105
CN,RU,393
TR,UA,132
FR,RO,378
CN,NZ,120
JP,RU,551
BA,RS,210
AT,HU,222
CA,LV,102
CA,IN,3608
NG,ZA,102
EC,ES,113
AU,CN,595
AU,NL,1147
CY,UA,122
SN,US,122
IN,PK,299
CA,CO,195
AT,PT,124
AM,GE,215
DE,SV,104
GB,PH,122
CH,MA,102
ID,IN,564
CL,MX,108
BY,LV,107
SE,TR,135
CA,NP,104
MN,US,125
GE,US,157
AR,PY,168
DE,MX,262
HU,RO,116
GE,PT,258
HK,PL,141
AR,ZA,302
ES,NZ,106
IR,SE,105
JP,NP,116
DE,XK,128
DK,MD,104
LV,US,146
CZ,SE,117
JP,LV,103
BR,GE,105
AU,NO,141
BD,CH,131
BE,LU,159
EC,VE,104
HK,LU,167
BY,KR,164
NO,UZ,163
BY,ID,125
CA,MA,109
AE,ET,109
ES,KE,115
IL,SE,101
IQ,PS,124
BR,CN,102
BE,RS,119
BR,SI,108
AM,PK,216
FJ,US,147
KE,MW,131
DO,IN,107
DE,RU,11393
FR,JP,1039
AT,US,2241
KE,ZA,114
IT,PL,413
GB,ID,204
FI,FR,511
AU,BE,140
CM,FR,121
BG,NO,103
GB,GE,122
EC,PE,106
GB,LK,111
AM,TR,184
DZ,IN,105
BR,LT,108
IT,MX,101
IN,UG,125
ET,ZA,126
GE,TH,106
ES,UA,437
AU,VN,136
BE,PL,224
TN,US,102
PA,SI,109
CA,CN,563
BG,RU,349
CY,FR,102
HR,RU,102
DE,PH,120
AM,TH,106
EC,IN,105
CA,PE,113
CA,SA,101
CR,MX,101
AR,NZ,132
BR,ZW,148
CZ,DE,2222
CA,GB,5968
PL,VN,102
IL,NL,297
PT,TH,131
SE,SG,146
ET,GH,106
BR,KR,106
MM,SG,113
EE,TH,108
AT,IT,241
RU,SK,103
CD,ES,523
FI,VN,107
EG,GH,104
GB,nan,107
GB,PE,109
DO,FR,103
AR,VE,282
FR,UA,1159
KR,TW,115
CO,FR,149
MY,TW,103
MA,NL,103
GT,US,112
BE,GR,117
CA,DO,101
SK,US,219
CO,US,1559
ES,TH,130
GE,TR,146
NP,SE,159
IN,NO,146
IL,MX,136
CA,FR,5352
DE,GE,125
AU,GB,4268
BR,JP,146
CR,PK,272
DE,ET,101
BH,HK,117
ES,PE,103
CN,LU,205
IT,ZA,103
TN,TR,106
PK,SG,102
PH,RS,157
CL,IT,105
CW,NL,104
CU,IN,201
BO,IN,102
AT,DK,106
DZ,GB,104
MD,UA,108
IE,ZA,130
IT,RS,103
ET,PK,109
BY,TR,109
CA,UY,105
CL,GB,113
CN,GB,789
EE,SE,101
AF,IN,116
IN,ZA,251
RE,US,214
CO,IN,109
CY,KZ,271
AU,IE,114
AT,GE,117
IT,SI,115
GB,MW,102
EG,NL,147
BY,ES,112
CO,RU,104
FR,VN,109
PT,UY,201
BG,JP,122
NL,TW,194
CZ,MX,203
BD,RU,116
AF,PK,123
AT,IL,115
CA,IS,102
CA,VE,113
FR,IE,521
IR,NL,664
RU,UA,4693
CZ,IE,109
AE,IE,102
SK,UY,153
KZ,TR,107
MX,VE,121
TH,UA,112
CA,TW,218
BR,DK,108
KR,PL,106
AT,CA,531
EE,KZ,205
CA,GE,137
PK,TR,104
ET,VE,185
AM,IL,105
BY,ME,127
DE,nan,103
CH,TJ,103
IN,IQ,113
BR,PY,102
CH,MT,112
IE,LU,105
LT,PK,105
JM,US,160
NZ,TW,103
AE,IR,130
CA,UZ,107
RU,TR,111
FR,NL,3443
DE,TN,116
BR,EE,104
EE,ES,106
GB,MK,110
CO,IL,112
CA,JP,1153
AU,DK,185
AT,BR,164
GB,SG,533
BE,UG,110
CN,FR,700
BD,TR,105
DE,KZ,119
FR,TH,123
FR,SE,1636
TH,US,810
JP,SE,106
BG,BR,105
NG,VN,115
BE,SG,101
EG,ES,109
FR,LU,546
GB,GH,150
CY,LT,184
NZ,RO,113
IN,SA,114
KW,TR,186
BR,VE,101
CA,IT,746
DK,IN,103
AT,TR,113
AR,RU,101
TH,TR,146
CN,MK,143
CH,DK,160
KE,MA,102
NO,UA,124
BH,MY,108
IT,RU,727
FI,PL,229
PH,TH,118
AE,HK,104
AR,DO,118
JP,VN,398
MT,MY,227
AR,US,2484
AE,FI,101
IN,JM,106
IM,US,103
IT,VN,102
IM,SV,108
GB,KR,230
AU,LK,108
AM,BY,101
DE,TH,143
BD,SE,218
FI,UA,226
BD,KE,112
ML,US,114
IR,RO,109
IL,SG,127
NO,TR,133
NL,US,11684
AD,GB,138
AR,HU,110
DE,GR,391
EG,GB,107
MX,PA,134
ID,IL,129
EE,GB,141
AM,IN,128
CA,GT,120
MT,PL,248
MM,US,138
BD,PK,122
SE,TH,103
AM,IE,101
DK,MX,113
CH,FI,171
EG,UA,124
GE,RS,124
HR,IN,114
PT,TR,118
KZ,MD,184
KR,MY,159
MA,PT,112
CM,GH,232
PK,SA,116
IN,TN,108
AT,FR,914
EE,HU,107
CA,LT,113
FI,HK,102
IT,ME,152
MY,NP,131
GB,ME,107
BR,CR,140
AE,BE,125
AT,PL,271
BR,UY,101
LU,RU,116
GB,MY,184
AE,DE,167
NL,XK,110
EG,OM,106
MX,SE,121
KZ,SE,108
BE,UA,111
NL,PS,125
CL,CN,113
AR,RO,101
CD,FR,118
CM,PK,147
JP,NZ,118
BR,MX,162
BD,IL,108
CO,TR,150
SA,SD,106
PH,TR,101
NL,VN,101
CA,KE,108
AR,JP,102
ES,GE,235
BE,IT,259
ME,SE,142
AE,TH,121
AE,FR,106
DK,IT,222
CZ,JP,104
BY,IL,126
GB,MD,102
FI,NL,289
IS,SG,645
CY,DE,121
LK,SG,104
AE,PT,108
GB,ZA,678
NP,US,217
CA,SG,430
AT,IN,459
HU,UA,106
IL,PS,101
GB,TH,121
KG,KZ,105
JP,TR,123
BO,CO,104
GB,TW,321
FI,GR,101
CA,IR,278
GB,RS,311
GH,IN,123
NG,SA,121
CZ,IT,179
AE,NL,104
LU,PL,101
KG,TR,111
RU,SI,119
CH,VN,112
ID,MY,126
ES,SK,103
AU,RS,101
TN,UA,203
CZ,DK,118
CL,EC,123
IL,VN,172
BG,UY,109
FR,LB,101
FR,RS,145
IS,ZA,239
CZ,GE,108
HK,IL,114
IN,SK,101
EE,PT,105
HU,PK,187
AU,EC,157
BH,SG,154
FO,US,122
GB,MC,143
CR,ES,107
JP,MO,107
IL,LK,123
LB,PL,108
CH,TW,107
CA,KZ,107
CL,GR,107
EG,JO,195
DE,MY,145
EE,IT,101
BE,TR,107
FR,KR,310
AT,NO,101
BY,UZ,155
ME,UA,105
EE,KR,173
AU,EE,128
AT,BH,163
HR,UY,160
IE,IT,420
CO,CZ,106
AR,CW,106
CH,IR,102
AE,ID,105
HR,TR,103
MA,RU,150
CZ,RU,431
FR,IR,445
HK,VN,133
BO,US,366
AT,UA,164
IL,PT,169
DK,RS,102
ES,KR,102
CH,ID,106
DE,UG,110
BY,EE,126
CH,PR,108
BD,TH,105
HK,NG,104
AU,JP,485
BS,US,114
NL,SY,127
AU,PK,111
HR,PL,101
IT,TW,101
AE,UA,103
DE,FI,3156
KZ,PL,117
PT,US,1393
IL,ZA,104
GT,SV,140
RS,XK,128
CD,KE,163
CM,US,104
CA,SV,130
AZ,UA,158
KR,NZ,102
AE,SE,104
EG,ZA,140
HK,SK,104
EC,MX,101
ID,NO,120
IL,US,12194
DE,GB,27471
SI,US,259
DE,NO,2242
BR,DE,1991
FR,IN,2234
CH,JP,308
BR,CZ,547
IE,UA,150
SG,VN,606
CH,SE,347
BE,IN,754
HU,RS,123
CA,HK,404
PL,RS,114
CA,NG,165
DK,UA,206
AR,IN,190
DK,RU,135
BR,PH,102
JP,PL,242
CZ,EE,107
ID,ZA,108
PT,RO,103
ES,GR,250
ES,ZA,163
DK,JP,107
IL,JP,118
BG,CH,160
NL,UY,117
IN,NZ,138
JP,MY,103
GB,UG,101
FR,PF,118
IN,MM,151
CZ,RS,103
AE,US,379
MK,NL,107
CL,PL,116
CN,TH,104
AE,PK,132
BR,IE,167
NL,SK,106
BJ,NG,103
MM,MY,105
AQ,AU,104
GB,VN,155
DO,US,530
FR,PT,414
AR,ES,913
AU,CZ,293
MY,SG,374
AR,BR,492
CA,TR,133
DE,EC,123
FR,MX,144
AR,FI,112
DE,ID,164
CH,TH,109
FI,HR,102
CL,PE,152
HK,IT,116
TT,US,103
KR,NL,104
PL,UA,965
IN,JP,491
BR,GR,106
ES,UY,111
AR,NO,110
CL,DE,104
AU,MX,104
KE,PK,121
DE,RO,1408
BZ,US,101
ES,NG,106
BM,US,108
FI,US,2307
DE,IE,1023
ES,SE,822
BE,GB,1454
DE,SG,602
CH,ES,1019
CN,SE,107
RO,UA,147
AU,KH,111
CZ,IN,454
AT,ES,259
JP,UA,142
SK,UA,102
JO,US,144
RU,TJ,114
AT,DE,5837
GR,NL,399
SV,US,130
CH,EE,113
GE,IL,140
AU,TL,115
ME,RS,101
GR,US,1220
BR,GB,1486
CA,NL,1630
IE,NL,468
AZ,PL,108
KE,NL,108
BE,SE,295
GB,RU,4600
IN,TH,113
DK,EE,106
CO,UA,121
ES,NO,268
HK,SG,811
NL,SG,165
CA,NO,275
JP,SG,1103
US,YE,110
AR,DK,101
FR,SG,398
NL,PL,1866
AU,RO,104
DE,NL,10883
LV,NO,129
IR,US,1255
CA,LB,112
DE,VN,260
CN,IL,103
IN,PL,548
BE,CN,103
GR,PT,121
RS,RU,104
RO,ZA,119
MU,NG,108
FR,HR,105
KR,US,3766
CH,FR,6530
IL,PL,307
IN,NL,2340
DE,JP,2013
KZ,RU,346
GB,HU,701
BE,CZ,204
DE,NP,102
GB,NG,628
IE,NO,130
CU,US,235
AR,AU,156
LA,US,112
GB,MG,102
BR,ID,120
CN,TW,1134
GB,UA,1489
AU,RU,783
BY,GB,199
MD,RU,125
HK,KR,235
FR,GR,408
ES,PH,104
ME,US,146
DK,GB,1483
IN,TR,187
RU,TW,197
BR,NZ,101
IN,KW,109
ZA,nan,225
AT,FI,144
AR,NL,163
CH,EG,111
BY,UG,197
DE,LT,110
CL,UA,154
KR,SE,101
CA,PK,107
IE,SG,118
CO,GT,108
DE,US,51881
NL,SE,1176
NL,RO,494
IE,RU,158
FR,ID,131
ES,FI,361
FR,MA,395
AU,BR,263
BR,ES,686
HR,UA,141
PH,RU,103
EE,FI,106
DZ,FR,104
AZ,RU,114
DE,FR,13899
US,ZA,744
GB,TR,494
BG,IL,105
IT,MA,101
FR,GB,10395
PL,RU,955
BR,SG,108
FR,PK,116
RU,US,9870
CZ,GB,1781
BR,IL,130
CZ,SK,1211
AT,CH,661
GB,VU,108
AR,SI,107
BY,IN,108
PL,RO,113
CW,US,132
AT,UY,102
BY,NL,159
FR,LT,106
PA,US,127
MY,SE,111
AT,RS,106
CA,CR,103
KE,NG,191
DE,LB,115
CZ,RO,121
CZ,SI,105
NP,RU,147
BR,CL,108
DE,TZ,117
BY,FR,105
AR,IR,107
AR,NG,131
CZ,TW,115
CN,PK,109
LT,PL,102
NG,US,738
FR,IT,2270
GB,IL,2130
DE,IR,1512
FI,GB,494
CA,SE,797
AU,NP,107
IL,RO,103
NL,PT,266
BE,CA,627
BE,RO,106
CA,CH,779
RW,US,135
GB,MU,122
AL,DE,114
AU,TW,214
AR,RS,133
DE,HR,359
CH,CN,149
CL,VE,147
BY,SG,141
CU,ES,103
NP,TH,113
BE,ZA,125
UA,ZA,115
CA,SN,193
CH,MK,152
IN,LU,103
PH,ZA,121
MX,NO,141
CN,IR,101
TW,UA,103
IT,LV,116
IL,MK,119
DE,IQ,107
BD,JP,117
KH,NL,113
ID,IT,104
CZ,TH,104
IL,TW,102
PK,VE,102
DE,IN,7665
GB,SE,3032
AU,NZ,2113
CH,NL,962
FR,IL,466
BG,DE,1211
NL,TR,281
FR,HK,363
LB,US,108
CH,TR,129
FI,IN,308
IN,LB,112
AT,AU,137
MZ,US,103
MX,UA,118
CH,PT,120
CL,RU,122
DE,DZ,128
BD,NL,106
PH,SE,106
AT,LU,152
MX,SG,121
GE,IT,113
NZ,PH,111
HR,RS,105
CO,DO,106
BY,RU,2141
ES,IT,2081
AR,UY,446
MT,US,111
IN,RU,1206
BY,PL,267
CA,PL,814
RU,UZ,110
IE,IN,419
BA,US,101
NG,NL,102
DK,ZA,113
PT,ZA,105
CA,PT,162
BG,BY,102
JP,MX,106
FR,TR,191
BE,BR,102
DE,TW,359
LK,NL,110
HK,UA,155
RU,TH,188
CL,CO,129
ET,KE,125
ID,LK,105
HU,NG,185
NZ,RU,119
CH,MX,102
NP,SI,124
AM,AR,123
AE,ZA,106
FR,US,17091
CN,US,33263
DE,IT,2955
US,UY,420
EC,US,187
MK,US,147
AR,CL,124
RO,US,1594
CO,DK,208
NG,UG,115
AU,SE,377
CO,GB,123
CZ,NO,113
LV,TR,106
AD,IN,549
BR,NO,112
ES,TR,117
NO,TH,109
BG,CZ,106
PL,SA,307
AT,SE,203
GB,JM,143
PL,TH,124
ES,HR,106
NO,ZA,132
DK,TR,149
CL,JP,104
BR,RO,101
HK,HU,107
BE,MD,142
ID,NG,110
LV,TH,103
IN,US,32565
GB,IN,7379
JP,TW,827
CZ,NL,516
DE,DK,1529
DK,NL,698
GB,LU,116
NO,RU,152
IT,NZ,104
CH,UA,128
FI,HU,103
GY,US,109
GR,NZ,101
IT,JP,171
HK,TR,102
HK,ID,103
MD,PT,196
BR,SE,258
DK,LB,323
EE,RU,395
FI,TR,105
IE,PK,108
DK,HR,118
BG,MK,213
BG,CG,172
KE,TN,142
MY,NL,101
CZ,IQ,174
MQ,US,120
AU,BG,108
CO,NL,114
AD,IL,115
IT,KE,106
HU,US,834
AM,US,149
US,VE,434
AU,PL,394
RU,SG,333
IN,KR,124
NL,PK,154
CH,CO,115
BB,US,101
SK,TR,102
NZ,PT,129
IT,NO,156
AE,MY,122
IN,MD,104
DK,NO,174
BG,NL,227
KW,US,109
BR,NG,143
CH,SK,114
NL,SI,180
IN,MY,193
AU,ZA,130
FI,PH,137
CY,IL,114
BG,SY,116
CH,LU,109
TR,VN,189
HK,KZ,188
FR,SK,128
AR,ID,170
IT,RO,154
GB,SK,145
GE,SG,144
FR,MD,136
KR,PH,107
CA,TZ,124
SK,VN,103
IE,US,2216
CH,NZ,118
BR,CO,108
GB,SA,117
CH,DE,10469
BE,FR,2274
IN,SG,1589
DE,RS,157
PT,UA,107
IN,LK,247
HR,IT,111
HU,PL,199
JP,MM,110
HR,NL,129
GB,TN,105
GE,SI,558
CH,GR,147
GB,MX,160
ID,SK,113
IN,OM,106
AT,MX,204
CA,HR,109
IN,KZ,136
DK,IS,111
MA,US,121
AR,DE,661
ES,RU,697
HK,MY,107
AM,DE,108
IN,MA,113
RO,RS,123
FI,UZ,147
AR,CR,128
AE,EG,102
CZ,TR,117
EG,IE,120
DK,SK,102
AU,NG,110
AE,RS,128
AE,GE,122
NL,SA,104
CY,PT,103
CR,US,613
GB,JP,1370
BR,CA,1100
CH,HU,153
ES,MX,240
GB,KE,292
ES,JP,235
BO,MX,125
MA,NG,101
AF,GE,187
CL,HN,125
CZ,GR,111
FR,NO,762
DE,LK,118
FI,PT,106
BG,PL,114
BR,PE,105
RO,SG,122
HK,LT,129
CA,RW,127
ET,IS,114
BG,ES,182
CH,SG,109
GE,KG,147
AU,HU,105
PY,SG,105
CY,ID,249
GB,LT,247
DZ,TN,131
DE,ES,7506
CM,NG,105
GB,US,45302
JP,KR,816
BR,RU,237
TW,ZA,140
HK,PH,144
PL,SK,111
CN,SI,119
IT,SG,101
GH,ZA,118
CL,US,880
CZ,VN,121
KR,RO,235
AR,CZ,101
ID,JP,126
IN,MU,114
CH,CZ,498
AU,CH,516
IN,SI,128
NI,US,117
GB,SI,174
IL,RS,107
BJ,IL,133
ID,UA,108
AE,MX,105
FR,PL,1794
BR,PT,277
DE,PK,145
GB,MA,104
AU,SK,193
CH,GB,3717
IN,SE,629
NP,VN,108
EC,GB,118
AT,CN,135
BD,FR,135
BY,QA,117
RO,TR,108
BY,CZ,107
PL,US,5611
AR,CO,417
BR,FR,1074
CR,GB,102
CY,RU,124
ES,HK,166
CH,LT,110
SE,US,5032
NL,RU,1957
PK,US,637
IE,PL,226
AU,CO,143
AM,MY,132
AR,CH,103
CL,SG,102
FR,ME,204
RS,SG,108
ES,NL,1935
UG,US,174
IE,MY,116
FR,ZA,156
LT,NL,101
LK,NZ,101
JP,US,10999
NO,US,2945
IT,UA,243
BG,LU,565
MO,SG,245
HU,IE,106
BY,GH,105
AE,JP,163
MD,NL,105
EE,NL,123
UA,US,5939
AU,SG,396
AE,PL,126
CH,KG,302
UY,VE,103
ME,RU,102
CH,PL,457
CO,PE,135
CH,RS,122
LT,UA,149
EE,US,465
JP,NO,122
AU,US,13048
FI,SE,657
GB,RO,1119
IL,UA,892
CH,ZA,160
IL,IT,214
IN,NP,290
BE,DK,118
BE,DZ,109
BR,PL,289
GR,IL,117
SG,TZ,102
CN,IE,124
AD,US,122
AF,RO,111
DE,PE,105
CN,JP,5901
KZ,PK,219
DK,PT,103
ET,NG,127
HN,MX,102
CH,KH,200
BE,EG,103
AL,IT,110
RS,VN,135
PT,SI,131
FI,IT,140
DE,KR,236
MX,NG,104
CO,CR,102
CA,ZA,135
NG,RW,105
NI,PE,134
DE,JO,106
CY,PL,107
AR,IT,101
FR,MM,107
LU,PT,113
HU,SI,110
AU,CM,128
KH,US,105
BG,GB,363
BG,SI,343
MY,UA,112
FR,HU,196
DK,US,1845
BE,KW,112
HK,US,6215
GB,NL,6457
PT,RU,143
CH,US,8136
GB,JO,116
CZ,UA,315
DE,MK,117
GB,IE,1809
BE,JP,105
PH,SG,216
HK,RU,452
DK,LT,110
AE,BR,101
KH,TH,160
DK,RO,165
GR,RO,114
HK,RS,116
GB,RE,108
AU,EG,111
NL,NZ,208
DE,PA,113
CL,FR,103
AR,PK,101
RU,ZA,124
FI,RU,1902
CA,IE,125
RU,VN,133
EE,TR,104
AD,ES,106
PL,TR,107
BG,IT,108
IL,TH,133
FR,TN,794
FI,LT,112
BO,FR,128
CA,MD,102
ET,US,196
GR,HR,105
PT,SG,115
FR,UY,112
HU,TR,103
LC,US,116
GB,HR,212
BB,CA,118
CH,CL,109
RO,VN,103
FR,PH,105
BD,IN,216
BO,NL,106
ES,RS,118
GB,LB,130
DK,SG,106
BO,DE,122
AR,VN,116
GH,NG,110
KG,LT,138
GH,US,155
CM,IN,103
BY,PA,142
HU,KR,174
PK,RO,102
BY,SK,104
CA,US,40238
AR,PL,103
CY,EE,204
IN,SV,139
ES,SG,101
CO,VE,170
DO,GB,170
AT,IE,109
ES,MZ,110
MY,VN,102
KR,MX,127
ES,ID,105
HK,IN,798
BE,NO,105
AO,ZA,103
PS,US,117
NL,TN,103
AT,NG,113
AR,UG,193
GB,IR,356
AT,RU,289
HU,NO,199
AU,PH,167
GB,NO,1972
CZ,NZ,108
FR,RU,2596
JE,SE,237
CA,CM,101
KE,UG,102
AM,RU,152
EE,FR,111
NO,PK,118
DE,DO,113
CY,US,131
