CountryCode,NodeID
AD,0
BE,1
BR,2
DE,3
ES,4
FR,5
GB,6
IL,7
IN,8
US,9
AE,10
AM,11
AR,12
AT,13
AU,14
BD,15
BG,16
BH,17
BY,18
CA,19
CH,20
CN,21
CO,22
CY,23
CZ,24
DO,25
EE,26
EG,27
ET,28
FI,29
GE,30
HK,31
HR,32
HU,33
ID,34
IE,35
IR,36
IT,37
JO,38
JP,39
KE,40
KR,41
KZ,42
LK,43
LV,44
ME,45
MT,46
MU,47
MX,48
MY,49
NG,50
NL,51
NO,52
NP,53
NZ,54
PH,55
PK,56
PL,57
PS,58
PT,59
RO,60
RS,61
RU,62
SE,63
SG,64
SM,65
SY,66
TH,67
TR,68
TW,69
TZ,70
UA,71
UZ,72
AF,73
AG,74
AI,75
AL,76
GR,77
MD,78
XK,79
LU,80
AO,81
AQ,82
BO,83
CL,84
CR,85
CW,86
DK,87
EC,88
GT,89
LT,90
PA,91
PE,92
PR,93
PY,94
SI,95
SK,96
UG,97
UY,98
VE,99
VN,100
ZA,101
BA,102
BN,103
KG,104
MK,105
QA,106
SA,107
FM,108
KH,109
MA,110
TL,111
TT,112
AW,113
AX,114
AZ,115
ZW,116
BB,117
GP,118
IS,119
MV,120
BF,121
CD,122
BI,123
BJ,124
BM,125
BQ,126
HN,127
HT,128
TN,129
BS,130
BW,131
LS,132
GH,133
OM,134
BZ,135
CM,136
CU,137
DM,138
JM,139
KW,140
LB,141
MZ,142
RW,143
SC,144
TJ,145
CG,146
CF,147
LI,148
MG,149
RE,150
SO,151
CI,152
SN,153
ZM,154
MO,155
GY,156
SV,157
NI,158
CV,159
DZ,160
IQ,161
DJ,162
ER,163
GI,164
FJ,165
FO,166
GF,167
GL,168
MC,169
MM,170
MQ,171
NC,172
PF,173
TG,174
GA,175
IM,176
JE,177
LA,178
MW,179
NE,180
SD,181
VU,182
GD,183
GG,184
GM,185
GN,186
GU,187
KY,188
LR,189
YE,190
LC,191
TD,192
KN,193
VG,194
LY,195
MF,196
ML,197
MN,198
MP,199
MR,200
SL,201
SR,202
SZ,203
TC,204
TM,205
TO,206
VI,207
WS,208
